id,difficulty,reasoning_type,question,expected_answer,prediction,citations,is_correct,latency,mrr,recall_hit,prompt_tokens,completion_tokens
5abed9f45542994516f4545a,medium,bridge,Who was the body double for Emilia Clarke playing Daenerys Targaryen in Game of Thrones?,Rosie Mac,Hattie Gotobed.,,0,11.996846914291382,0.0,0,887,512
5ab1dd6c5542993be8fa9860,medium,bridge,In what literary movement was the nineteenth century writer featured in Alicia Ramsey's historical play a leading figure?,Romantic,The Romantic movement.,,1,1.9018442630767822,0.0,0,868,488
5adfa059554299025d62a2f8,hard,bridge,Richard E. Grant starred in what 1995 British romantic comedy film?,Richard E. Grant,Jack & Sarah.,,0,1.6095361709594727,0.0,0,739,368
5a8f9a24554299458435d690,medium,bridge,"What is the name of the lead remix of the track from the remix album containing remixes of the lady gaga studio album ""The Fame""?",Bad Romance,Just Dance (RedOne Remix),,0,1.90059494972229,0.0,0,809,401
5a77535855429966f1a36d04,hard,comparison,"Who was born earlier, Thomas Wolfe or Margaret Wilson?",Margaret Wilson,Margaret Wilson.,,1,1.8087048530578613,0.0,0,681,312
5a773772554299373536021d,medium,bridge,Who was born first Percy Clifford Mills or Nigel Graham Pearson?,Percy Clifford Mills,Percy Clifford Mills.,,1,1.5723159313201904,0.0,0,692,326
5ab36fd355429969a97a814c,medium,bridge,"Which studio album by childish gambina is produced by Glover and contains the song ""redbone""?","""Awaken, My Love!""","""Awaken, My Love!""",,1,1.8170969486236572,0.0,0,891,523
5ab57383554299494045efda,medium,bridge, Since 2017 Nick Ayers has been Chief of Staff to a man that served as governor of what state?,Indiana,Indiana.,,1,1.5134851932525635,0.0,0,772,374
5a78c8f955429974737f7887,medium,comparison,"Which band formed first, Sunrise Avenue or Marcy Playground?",Marcy Playground,Marcy Playground.,,1,1.4060511589050293,0.0,0,617,256
5a7a013c5542990198eaf03a,easy,bridge,"What was the member of the Lok Sabha from June 1977 to January 1978 as a member of political Party that belonged to one of the two major political parties in India, along with the Indian National Congress?",chief minister of the state,Atal Bihari Vajpayee.,,0,1.7487549781799316,0.0,0,975,530
5ac021d1554299012d1db5b4,medium,bridge,"Which American actor, artist, and former American football player born in 1968 appeared in the film ""Reach Me?""",Terry Crews,Terry Crews.,,1,1.6344070434570312,0.0,0,762,410
5ab8c2465542991b5579effb,medium,bridge,What position does the current holder of the Ligue 1 Young player of the year play?,forward,Striker.,,0,1.8453290462493896,0.0,0,851,484
5a7c779d55429935c91b51ce,medium,bridge,How many ships does the cruise line that is a client of Moment Factory have?,24,Over 17 ships.,,0,1.6603641510009766,0.0,0,836,464
5ae07ee155429945ae959384,hard,bridge,"Who died first, Robert Baldock or Edward II of England?",Robert Baldock,Robert Baldock.,,1,1.6805710792541504,0.0,0,790,423
