id,difficulty,reasoning_type,question,expected_answer,prediction,citations,is_correct,latency,mrr,recall_hit,prompt_tokens,completion_tokens
5abed9f45542994516f4545a,medium,bridge,Who was the body double for Emilia Clarke playing Daenerys Targaryen in Game of Thrones?,Rosie Mac,I don't know,,0,0.4829401969909668,0.0,0,156,5
5ab1dd6c5542993be8fa9860,medium,bridge,In what literary movement was the nineteenth century writer featured in Alicia Ramsey's historical play a leading figure?,Romantic,Romanticism,,1,0.4753568172454834,0.0,0,154,4
5adfa059554299025d62a2f8,hard,bridge,Richard E. Grant starred in what 1995 British romantic comedy film?,Richard E. Grant,Four Weddings and a Funeral,,0,0.43437695503234863,0.0,0,149,7
5a8f9a24554299458435d690,medium,bridge,"What is the name of the lead remix of the track from the remix album containing remixes of the lady gaga studio album ""The Fame""?",Bad Romance,Just Dance (Dave Audé Remix),,0,0.379925012588501,0.0,0,163,9
5a77535855429966f1a36d04,hard,comparison,"Who was born earlier, Thomas Wolfe or Margaret Wilson?",Margaret Wilson,Thomas Wolfe (1900)  Margaret Wilson (1886),,1,0.42218804359436035,0.0,0,145,15
5a773772554299373536021d,medium,bridge,Who was born first Percy Clifford Mills or Nigel Graham Pearson?,Percy Clifford Mills,I don't know,,0,0.43111705780029297,0.0,0,146,5
5ab36fd355429969a97a814c,medium,bridge,"Which studio album by childish gambina is produced by Glover and contains the song ""redbone""?","""Awaken, My Love!""","""Awaken My Love!""",,1,0.39285993576049805,0.0,0,153,7
5ab57383554299494045efda,medium,bridge, Since 2017 Nick Ayers has been Chief of Staff to a man that served as governor of what state?,Indiana,Georgia,,0,0.3896512985229492,0.0,0,157,2
5a78c8f955429974737f7887,medium,comparison,"Which band formed first, Sunrise Avenue or Marcy Playground?",Marcy Playground,Marcy Playground,,1,0.45299506187438965,0.0,0,146,4
5a7a013c5542990198eaf03a,easy,bridge,"What was the member of the Lok Sabha from June 1977 to January 1978 as a member of political Party that belonged to one of the two major political parties in India, along with the Indian National Congress?",chief minister of the state,Janata Party,,0,0.5253162384033203,0.0,0,178,4
5ac021d1554299012d1db5b4,medium,bridge,"Which American actor, artist, and former American football player born in 1968 appeared in the film ""Reach Me?""",Terry Crews,Ryan Phillippe,,0,0.29518580436706543,0.0,0,158,4
5ab8c2465542991b5579effb,medium,bridge,What position does the current holder of the Ligue 1 Young player of the year play?,forward,I don't know,,0,0.3067820072174072,0.0,0,153,5
5a7c779d55429935c91b51ce,medium,bridge,How many ships does the cruise line that is a client of Moment Factory have?,24,I don't know,,0,0.2898581027984619,0.0,0,150,5
5ae07ee155429945ae959384,hard,bridge,"Who died first, Robert Baldock or Edward II of England?",Robert Baldock,Robert Baldock,,1,0.3104240894317627,0.0,0,147,4
5a7248045542990c210a40ad,hard,bridge,Who wrote the screenplay for the Alfred Hitchcock movie that Eva Marie Saint acted in?,Ernest Lehman,Ernest Lehman,,1,0.30744385719299316,0.0,0,151,5
5ae731ff5542991e8301cbc0,easy,bridge,"Michael Faraday was an early 19th-century British scientist, he contributed to the study of electromagnetism and electrochemistry, and died on which date?",25 August 1867,"August 25, 1867",,0,0.31105589866638184,0.0,0,166,8
5abdcb525542991f66106043,easy,bridge,"Who directed the 1959 American Western Film starring the actress who starred as Virginia in ""Marty?""",Budd Boetticher,Eli Wallach,,0,0.46176838874816895,0.0,0,155,5
